maturity,coupon,price,id
02.12.2021,0,100.007,IQT713061070
09.12.2021,0,100.022,IQT698578313
16.12.2021,0,100.038,IQT700018280
23.12.2021,0,100.054,IQT697800635
06.01.2022,0,100.085,IQT700018281
13.01.2022,0,100.101,IQT699548162
20.01.2022,0,100.116,IQT697951491
27.01.2022,0,100.132,IQT697951492
03.02.2022,0,100.148,IQT699547516
10.02.2022,0,100.164,IQT698578306
17.02.2022,0,100.179,IQT697951493
24.02.2022,0,100.195,IQT698408695
31.03.2022,0,100.274,IQT700018310
12.05.2022,0,100.368,IQT699548161
25.05.2022,2,101.358,IQT134686491
30.06.2022,0,100.479,IQT698578307
11.02.2023,4,105.78,IQT31831807
11.06.2024,1.25,104.809,IQT206779127
24.07.2025,1.5,107.5,IQT242709270
28.05.2026,1.25,107.752,IQT312562457
27.06.2027,3.25,120.613,IQT36526153
08.04.2028,4,128.006,IQT32154850
22.06.2029,0,101.98,IQT368102103
27.05.2030,0.5,106.036,IQT301543567
27.05.2030,0.5,106.011,IQT1757558256
22.06.2031,2.25,123.2,IQT134303960
27.06.2032,0.5,106.466,IQT570115477
08.04.2033,3.5,140.976,IQT31830796
23.06.2035,0.25,104.032,IQT717813216
23.06.2035,0.25,104.139,IQT1757558257
08.03.2036,2.5,136.144,IQT31833085
27.06.2037,1.25,119.97,IQT209137496
24.07.2039,0,101.04,IQT628924731
30.04.2042,1.5,131.728,IQT204635012
28.06.2045,0.5,113.28,IQT529523873
06.01.2049,4,211.043,IQT31835353
24.05.2055,0.5,121.315,IQT430070050
30.05.2058,0.5,123.732,IQT337416277
25.06.2064,2,192.249,IQT266829363
